file,Fs,IntegratedLUFS,ShortTermLUFS,MomentaryLUFS,LRA,TruePeak_dBTP
1kHz Sine -20 LUFS-16bit.wav,48000,-18.7712212157565,-22.7794230748336,-22.7791831914677,2.61157121812516e-05,-19.9463629455627
1kHz Sine -26 LUFS-16bit.wav,48000,-24.7712225944977,-28.7794313874388,-28.779190013383,5.16685458826771e-05,-25.943270464476
1kHz Sine -40 LUFS-16bit.wav,48000,-38.8106799451868,-42.8188571820181,-42.8186262485975,4.41749289592508e-05,-39.9463629455627
EBU-reference_listening_signal_pinknoise_500Hz_2kHz_R128.wav,48000,-19.1057227045304,-23.2806253198443,-23.0033580058682,0.339067069841125,-9.30020125834252
seq-3341-1-16bit.wav,48000,-21.7709548163406,-25.7791580335169,-25.7789451556548,2.32818043492955e-05,-22.9470382757925
seq-3341-10-1-24bit.wav,48000,-22.0901192856295,-26.4873227268586,-92.8189410263787,0.536868017998543,-22.9944721429719
seq-3341-10-10-24bit.wav,48000,-22.0913030876881,-26.369813516073,-92.819198928223,1.16991846483265,-22.9944721429719
seq-3341-10-11-24bit.wav,48000,-22.6028281966366,-26.4873227268586,-92.8189410263787,1.7345167811423,-22.9944721429719
seq-3341-10-12-24bit.wav,48000,-22.0913030876881,-26.369813516073,-92.819198928223,2.53695289465904,-22.9944721429719
seq-3341-10-13-24bit.wav,48000,-22.0913162768707,-26.4873227268586,-92.8189410263787,3.48235179750725,-22.9944721429719
seq-3341-10-14-24bit.wav,48000,-22.6028281966366,-26.369813516073,-92.819198928223,4.74467154411332,-22.9944721429719
seq-3341-10-15-24bit.wav,48000,-22.091303087688,-26.4873227268586,-92.8189410263787,6.16983578929579,-22.9944721429719
seq-3341-10-16-24bit.wav,48000,-22.6028281966367,-26.369813516073,-92.819198928223,8.02438936709909,-22.9944721429719
seq-3341-10-17-24bit.wav,48000,-22.0913142164673,-26.4873227268586,-92.8189410263787,10.0698452395827,-22.9944721429719
seq-3341-10-18-24bit.wav,48000,-22.0913030876881,-26.369813516073,-92.819198928223,12.7219950522852,-22.9944721429719
seq-3341-10-19-24bit.wav,48000,-22.6028281966366,-26.4873227268586,-92.8189410263787,15.6321478826536,-22.9944721429719
seq-3341-10-2-24bit.wav,48000,-22.0913030874319,-26.369813516073,-92.819198928223,0.417820297732888,-22.9944721429719
seq-3341-10-20-24bit.wav,48000,-22.0913030876881,-26.369813516073,-92.819198928223,19.2636531774646,-22.9944721429719
seq-3341-10-3-24bit.wav,48000,-22.6028281963805,-26.4873227268586,-92.8189410263787,0.470758477334012,-22.9944721429719
seq-3341-10-4-24bit.wav,48000,-22.0913030876881,-26.369813516073,-92.819198928223,0.361301513377278,-22.9944721429719
seq-3341-10-5-24bit.wav,48000,-22.0913162768707,-26.4873227268586,-92.8189410263788,0.416393451325899,-22.9944721429719
seq-3341-10-6-24bit.wav,48000,-22.6028281966366,-26.369813516073,-92.819198928223,0.320783518137553,-22.9944721429719
seq-3341-10-7-24bit.wav,48000,-22.091303087688,-26.4873227268586,-92.8189410263787,0.448094105706367,-22.9944721429719
seq-3341-10-8-24bit.wav,48000,-22.6028281966366,-26.369813516073,-92.819198928223,0.549697461229311,-22.9944721429719
seq-3341-10-9-24bit.wav,48000,-22.0913142164673,-26.4873227268586,-92.8189410263787,0.724395507115549,-22.9944721429719
seq-3341-11-24bit.wav,48000,-23.6541009160354,-21.8231351780263,-22.8581598733793,34.9744416156718,-18.994475376778
seq-3341-12-24bit.wav,48000,-21.7761108844975,-25.7879611669189,-26.3977519096455,0.00654980333295896,-19.9944705540917
seq-3341-13-1-24bit.wav,48000,-21.8010128078895,NaN,-92.8189410263787,NaN,-22.9944721429719
seq-3341-13-10-24bit.wav.wav,48000,-24.820081349729,NaN,-92.8191989282095,NaN,-22.9944721429719
seq-3341-13-11-24bit.wav.wav,48000,-24.820081349729,NaN,-92.8189410263787,NaN,-22.9944721429719
seq-3341-13-12-24bit.wav.wav,48000,-24.820081349729,NaN,-92.8191983189344,NaN,-22.9944721429719
seq-3341-13-13-24bit.wav.wav,48000,-24.820081349729,NaN,-92.819198926718,NaN,-22.9944721429719
seq-3341-13-14-24bit.wav.wav,48000,-24.820081349729,NaN,-92.8191989282149,NaN,-22.9944721429719
seq-3341-13-15-24bit.wav.wav,48000,-24.820081349729,NaN,-92.8191989282095,NaN,-22.9944721429719
seq-3341-13-16-24bit.wav.wav,48000,-24.820081349729,NaN,-92.8189410263787,NaN,-22.9944721429719
seq-3341-13-17-24bit.wav.wav,48000,-24.8200813497289,NaN,-92.8191983189344,NaN,-22.9944721429719
seq-3341-13-18-24bit.wav.wav,48000,-24.8200813497289,NaN,-92.819198926718,NaN,-22.9944721429719
seq-3341-13-19-24bit.wav.wav,48000,-24.8200813497262,NaN,-92.8191989282149,NaN,-22.9944721429719
seq-3341-13-2-24bit.wav,48000,-24.8200813425608,NaN,-92.8191983189344,NaN,-22.9944721429719
seq-3341-13-20-24bit.wav.wav,48000,-24.8200813499457,NaN,-92.8191989282095,NaN,-22.9944721429719
seq-3341-13-3-24bit.wav.wav,48000,-24.8200813495731,NaN,-92.819198926718,NaN,-22.9944721429719
seq-3341-13-4-24bit.wav.wav,48000,-24.8200813497279,NaN,-92.8191989282149,NaN,-22.9944721429719
seq-3341-13-5-24bit.wav.wav,48000,-24.820081349729,NaN,-92.8191989282095,NaN,-22.9944721429719
seq-3341-13-6-24bit.wav.wav,48000,-24.8200813497289,NaN,-92.8189410263788,NaN,-22.9944721429719
seq-3341-13-7-24bit.wav.wav,48000,-24.8200813497289,NaN,-92.8191983189344,NaN,-22.9944721429719
seq-3341-13-8-24bit.wav.wav,48000,-24.8200813497289,NaN,-92.819198926718,NaN,-22.9944721429719
seq-3341-13-9-24bit.wav.wav,48000,-24.8200813497289,NaN,-92.8191989282149,NaN,-22.9944721429719
seq-3341-14-24bit.wav.wav,48000,-26.3206025932746,-26.4438563265035,-21.8231185993902,13.5823355980786,-18.994475376778
seq-3341-15-24bit.wav.wav,48000,-9.83040642208662,-13.6549287157567,-13.7360732021339,0.00163496046064715,-5.99473756408632
seq-3341-16-24bit.wav.wav,48000,-9.83040750679165,-13.6549295469517,-13.7360723951651,0.00163520323925326,-5.98509709681388
seq-3341-17-24bit.wav.wav,48000,-9.72089647693661,-13.5454183833986,-13.6265592250917,0.0016355043382088,-5.99351728957482
seq-3341-18-24bit.wav.wav,48000,-9.57140442141814,-13.3959261325065,-13.4770666496381,0.00163554666590215,-5.9917409382603
seq-3341-19-24bit.wav.wav,48000,-0.820424499625285,-4.64494654884852,-4.72608939314228,0.00163520315965116,3.02488598129204
seq-3341-2-16bit.wav,48000,-31.7778880041041,-35.7860846784873,-35.7859200537531,7.60000816342199e-05,-32.9129700670187
seq-3341-20-24bit.wav.wav,48000,-9.72044166014391,-13.5446092151993,-13.6262738031356,0.0016794837523193,-0.124655753649378
seq-3341-2011-8_seq-3342-6-24bit-v02.wav,48000,-21.315648740085,-24.141793889629,-21.6226282522895,15.1735798149723,-3.34923137886215
seq-3341-21-24bit.wav.wav,48000,-9.72044178833434,-13.5446093815351,-13.6262931036729,0.00167976250498469,-0.11265928866717
seq-3341-22-24bit.wav.wav,48000,-9.72044158485638,-13.544609204895,-13.6263115452144,0.00168002038604342,-0.137894024032598
seq-3341-23-24bit.wav.wav,48000,-9.72044168702477,-13.5446092892449,-13.6263300383938,0.00168018547443261,-0.112658508919264
seq-3341-3-16bit-v02.wav,48000,-21.8114699293086,-38.8172568271438,-38.8170305602128,12.9980936235728,-22.9937116263453
seq-3341-4-16bit-v02.wav,48000,-21.8114699293086,-74.7534698961633,-74.7531935651318,48.9343142662957,-22.9937116263453
seq-3341-5-16bit-v02.wav,48000,-21.8293363329479,-28.8202031674473,-28.8199759107093,6.00140914642158,-19.9939424965158
seq-3341-6-5channels-16bit.wav,48000,-26.5152712900285,-30.5234706933295,-30.5232436269657,7.105427357601e-15,-27.7006572077778
seq-3341-6-6channels-WAVEEX-16bit.wav,48000,-28.0988962109808,-32.1070956142816,-32.1068685479178,0,-29.2842821287303
seq-3341-7_seq-3342-5-24bit.wav,48000,-19.654147154163,-22.1963813668191,-25.2622877509987,6.24910868989503,-9.01820403889822
seq-3341-9-24bit.wav,48000,-21.8609359497637,-26.4712057182144,-32.8186582896792,6.8741061617593,-19.9944705540917
seq-3342-1-16bit.wav,48000,-21.4073711765114,-32.8199003780582,-32.8196731936765,10.0011063460899,-19.9939424965158
seq-3342-2-16bit.wav,48000,-15.6282810956826,-17.8194206227592,-17.8191937981383,4.99937346364263,-14.9945709623603
seq-3342-3-16bit.wav,48000,-18.8107756733952,-22.818794084647,-22.8185672484275,19.995073585584,-19.9939424965158
seq-3342-4-16bit.wav,48000,-23.3159221615523,-52.8081846153033,-52.807965326438,29.9893893887697,-19.9939424965158
